,site_area,structure_type,water_consumption,recycling_rate,utilization_rate,air_quality_index,issue_resolution_time,resident_count,electricity_cost
0,1360,3,2519.0,69,52,188,1,72,1420.0
1,4272,3,2324.0,50,76,165,65,261,3298.0
2,3592,3,2701.0,20,94,198,39,117,3115.0
3,966,1,1000.0,13,60,74,3,35,1575.0
4,4926,1,5990.0,23,65,32,57,185,4301.0
5,3944,2,6960.0,22,43,194,59,0,3800.0
6,3671,1,2803.0,24,66,149,18,139,3661.0
7,3419,3,5601.0,17,61,140,21,38,2538.0
8,630,1,1000.0,20,82,92,56,41,1390.0
9,2185,1,2170.0,32,57,133,52,117,2599.0
10,1269,1,1194.0,16,94,191,8,124,2626.0
11,2891,4,5267.0,78,76,105,25,0,3714.0
12,2933,1,4817.0,41,100,181,32,260,4140.0
13,1684,2,2604.0,53,61,42,70,0,2100.0
14,3885,2,2164.0,12,53,182,40,0,3419.0
15,4617,1,8168.0,53,43,27,29,175,4479.0
16,3404,2,2380.0,78,76,57,69,0,3165.0
17,974,3,1000.0,60,30,14,35,30,872.0
18,1582,2,2448.0,70,48,151,33,0,1803.0
19,3058,3,2994.0,60,87,106,46,292,2196.0
20,2547,1,3903.0,42,36,113,72,253,3084.0
21,3247,1,5123.0,29,93,89,31,225,3742.0
22,1475,4,1000.0,39,47,189,68,0,2271.0
23,2306,1,3978.0,53,92,192,40,43,2271.0
24,689,2,2003.0,38,97,25,69,0,1853.0
25,3234,3,2690.0,30,79,109,42,288,2414.0
26,3505,1,4518.0,62,97,94,44,253,4479.0
27,2399,3,2364.0,20,45,188,17,87,1596.0
28,1767,1,2721.0,19,43,128,20,78,2009.0
29,2028,1,1138.0,44,91,81,53,126,2900.0
30,3702,1,3622.0,35,36,45,44,82,2992.0
31,4056,3,2032.0,53,85,0,17,310,2716.0
32,4390,1,8226.0,13,43,50,27,328,4968.0
33,1146,3,2083.0,83,71,163,23,110,1541.0
34,3388,4,4427.0,66,99,68,58,0,4029.0
35,2935,2,2801.0,48,91,68,69,0,3251.0
36,1100,2,1743.0,89,72,127,56,0,2230.0
37,2863,2,2985.0,50,86,65,45,0,3309.0
38,2561,1,2218.0,76,60,98,29,17,2008.0
39,741,2,1000.0,45,80,29,14,0,1475.0
40,2541,2,2540.0,13,96,135,8,0,2858.0
41,3324,4,3029.0,83,30,1,46,0,3473.0
42,3112,4,3911.0,22,73,99,27,0,3699.0
43,1863,3,3559.0,79,79,102,70,144,2253.0
44,1978,3,2233.0,16,89,24,7,39,2185.0
45,3056,2,1049.0,37,32,146,26,0,2728.0
